,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Price_Class,Age_Converted
151,19950,19.0,17038,Petrol,110,0.0,0,1600,5,1130,High,1.6
152,18450,10.0,13747,Petrol,97,1.0,0,1400,5,1110,High,0.8
153,19500,12.0,13634,Petrol,110,1.0,0,1600,5,1115,High,1.0
154,21750,13.0,13178,Petrol,110,1.0,0,1600,5,1130,High,1.1
155,16868,15.0,13157,,97,1.0,0,1400,4,1085,High,1.2
156,19500,16.0,13000,,110,1.0,0,1600,4,1105,High,1.3
157,18900,11.0,12500,Petrol,110,1.0,0,1600,5,1115,High,0.9
158,19750,17.0,11999,Petrol,110,1.0,0,1600,5,1130,High,1.4
159,19750,16.0,11754,Petrol,110,0.0,1,1600,5,1180,High,1.3
160,18950,16.0,11000,,110,,0,1600,4,1105,High,1.3
161,20750,17.0,10000,Petrol,110,0.0,0,1598,5,1105,High,1.4
162,19600,9.0,7650,Petrol,110,1.0,0,1600,5,1115,High,0.8
163,19500,14.0,6500,,110,,0,1600,4,1100,High,1.2
164,17650,11.0,6155,Petrol,97,1.0,0,1400,5,1110,High,0.9
165,19950,14.0,6000,Petrol,110,0.0,0,1600,5,1130,High,1.2
166,19950,14.0,5459,Petrol,110,1.0,0,1600,5,1130,High,1.2
167,20950,14.0,5278,Petrol,110,1.0,1,1600,4,1150,High,1.2
168,20500,12.0,5000,Petrol,110,1.0,0,1600,5,1130,High,1.0
169,17795,9.0,1,Petrol,98,1.0,0,1400,4,1065,High,0.8
170,18245,9.0,1,Petrol,110,1.0,0,1600,5,1075,High,0.8
171,23750,8.0,11000,Petrol,110,1.0,0,1600,5,1130,High,0.7
172,19500,8.0,10077,Petrol,97,1.0,0,1400,5,1110,High,0.7
173,18950,8.0,10000,Petrol,97,1.0,0,1400,5,1110,High,0.7
174,21950,8.0,9788,Petrol,110,1.0,0,1600,5,1130,High,0.7
175,19950,8.0,8574,Petrol,110,1.0,0,1600,5,1130,High,0.7
176,18950,8.0,7000,Petrol,110,0.0,0,1600,5,1115,High,0.7
177,19950,7.0,6250,Petrol,110,1.0,0,1600,5,1115,High,0.6
178,21950,8.0,5000,Petrol,110,1.0,0,1600,5,1130,High,0.7
179,22500,6.0,3000,Petrol,110,0.0,0,1600,5,1130,High,0.5
180,18500,7.0,2000,Petrol,110,0.0,0,1600,5,1075,High,0.6
181,18700,7.0,450,Petrol,97,1.0,0,1400,5,1110,High,0.6
182,21125,2.0,225,Petrol,97,1.0,0,1400,5,1110,High,0.2
183,21500,,15,Petrol,110,1.0,0,1600,5,1130,High,
184,17795,1.0,1,Petrol,98,1.0,0,1400,4,1100,High,0.1
185,18245,1.0,1,Petrol,110,1.0,0,1600,5,1075,High,0.1
186,6950,43.0,243000,Diesel,69,0.0,0,1900,3,1110,Low,3.6
187,9500,38.0,180638,Diesel,90,0.0,0,2000,4,1160,Medium,3.2
188,11950,40.0,179860,Diesel,90,1.0,0,2000,5,1205,Medium,3.3
189,7750,43.0,178858,CNG,110,0.0,0,1600,3,1084,Low,3.6
190,11950,40.0,161000,Diesel,69,1.0,0,1900,3,1105,Medium,3.3
191,4350,44.0,158320,Diesel,69,0.0,0,1800,5,1110,Low,3.7
192,4750,44.0,131273,Diesel,69,1.0,0,1800,5,1110,Low,3.7
193,11750,40.0,130062,Diesel,69,1.0,0,1900,5,1140,Medium,3.3
194,13250,41.0,123425,Diesel,69,1.0,0,1900,5,1140,High,3.4
195,11950,37.0,118217,Petrol,110,1.0,0,1600,5,1075,Medium,3.1
196,11900,44.0,110000,Diesel,69,1.0,0,1900,5,1095,Medium,3.7
197,14750,39.0,108847,Diesel,90,1.0,0,2000,5,1205,High,3.2
198,9950,42.0,105699,Petrol,97,1.0,0,1400,3,1025,Medium,3.5
199,11950,,98823,CNG,110,1.0,0,1600,5,1119,Medium,
200,11495,44.0,96829,Petrol,110,,0,1600,5,1075,Medium,3.7
201,11250,40.0,96518,Petrol,97,1.0,0,1400,3,1025,Medium,3.3
202,10500,42.0,92204,Petrol,110,1.0,0,1600,5,1075,Medium,3.5
203,10450,35.0,91456,Diesel,69,1.0,0,1900,3,1110,Medium,2.9
204,12950,43.0,89968,Diesel,69,1.0,0,1900,5,1140,High,3.6
205,11500,44.0,89757,Petrol,110,1.0,0,1600,3,1045,Medium,3.7
206,12500,40.0,85389,Petrol,110,1.0,0,1600,5,1075,High,3.3
207,10950,43.0,85017,,97,0.0,0,1400,5,1060,Medium,3.6
208,11450,41.0,84312,Petrol,110,0.0,0,1600,5,1080,Medium,3.4
209,11950,37.0,82743,CNG,110,1.0,0,1600,5,1121,Medium,3.1
210,13250,41.0,81106,Diesel,69,1.0,0,1900,5,1140,High,3.4
211,14750,40.0,80425,Diesel,90,1.0,0,2000,5,1205,High,3.3
212,11790,34.0,78677,Petrol,110,1.0,1,1600,5,1105,Medium,2.8
213,11450,40.0,78425,Petrol,110,,0,1600,5,1075,Medium,3.3
214,13500,33.0,78108,Diesel,90,1.0,0,2000,3,1170,High,2.8
215,10950,33.0,77321,Petrol,110,1.0,0,1600,5,1075,Medium,2.8
216,13500,33.0,75699,Diesel,69,0.0,0,1900,3,1105,High,2.8
217,10950,41.0,75697,Petrol,97,1.0,0,1400,3,1025,Medium,3.4
218,10950,44.0,74846,Petrol,97,,0,1400,3,1025,Medium,3.7
219,12950,38.0,74319,Petrol,110,1.0,0,1600,5,1075,High,3.2
220,11950,,74285,Petrol,110,1.0,0,1600,5,1075,Medium,
221,12450,44.0,74172,Petrol,110,1.0,0,1600,5,1615,High,3.7
222,11950,40.0,73042,Petrol,110,1.0,0,1598,5,1075,Medium,3.3
223,14950,44.0,71793,CNG,110,,0,1600,4,1067,High,3.7
224,12450,35.0,71200,Petrol,110,1.0,0,1600,5,1075,High,2.9
225,12950,38.0,67805,Petrol,110,1.0,0,1600,5,1075,High,3.2
226,11950,,65988,Petrol,110,,0,1600,3,1040,Medium,
227,11690,,65345,Petrol,97,1.0,0,1400,5,1060,Medium,
228,12450,42.0,64564,Petrol,110,1.0,0,1600,5,1080,High,3.5
229,12750,36.0,63459,Petrol,97,1.0,0,1400,5,1060,High,3.0
230,11925,,63451,Petrol,97,0.0,0,1400,3,1025,Medium,
231,12950,33.0,62000,Petrol,110,1.0,0,1600,5,1075,High,2.8
232,11950,42.0,61300,Petrol,97,1.0,0,1400,3,1030,Medium,3.5
233,12900,41.0,61200,Petrol,110,1.0,0,1600,3,1045,High,3.4
234,11900,41.0,61000,Petrol,110,0.0,0,1600,5,1075,Medium,3.4
235,11650,38.0,60829,Petrol,110,,0,1600,5,1075,Medium,3.2
236,10950,44.0,60500,Petrol,110,0.0,0,1600,5,1075,Medium,3.7
237,13950,35.0,59500,Diesel,69,,0,1900,3,1110,High,2.9
238,13950,44.0,59000,Petrol,110,0.0,1,1600,5,1110,High,3.7
239,11950,40.0,58954,Petrol,110,1.0,0,1600,5,1080,Medium,3.3
240,10950,38.0,58798,Petrol,110,1.0,0,1600,5,1075,Medium,3.2
241,12450,38.0,58363,Petrol,110,1.0,0,1600,3,1055,High,3.2
242,11950,43.0,58277,Petrol,110,,0,1600,3,1045,Medium,3.6
243,13500,33.0,57711,Diesel,90,1.0,0,2000,3,1165,High,2.8
244,11690,33.0,57269,Petrol,110,1.0,0,1600,5,1075,Medium,2.8
245,13500,39.0,56001,Petrol,110,1.0,0,1600,5,1075,High,3.2
246,11950,42.0,55968,Petrol,110,,0,1600,3,1050,Medium,3.5
247,12900,,55678,Petrol,110,1.0,0,1600,4,1030,High,
248,13500,43.0,55539,Petrol,110,1.0,0,1600,5,1085,High,3.6
249,11750,42.0,55400,Petrol,110,0.0,0,1600,5,1075,Medium,3.5
250,11750,33.0,55350,Petrol,110,0.0,0,1600,5,1075,Medium,2.8
251,10850,43.0,54600,Petrol,110,0.0,0,1600,4,1030,Medium,3.6
252,11750,43.0,53773,Petrol,110,1.0,0,1600,5,1075,Medium,3.6
253,14950,42.0,53719,Petrol,110,1.0,1,1600,5,1105,High,3.5
254,9940,39.0,53644,Petrol,110,1.0,0,1600,5,1075,Medium,3.2
255,12900,42.0,53350,Petrol,110,0.0,0,1600,5,1075,High,3.5
256,13500,38.0,53000,Petrol,110,1.0,0,1600,5,1075,High,3.2
257,11750,44.0,52084,Petrol,97,1.0,0,1400,3,1025,Medium,3.7
258,11950,44.0,52000,Petrol,97,0.0,0,1400,3,1025,Medium,3.7
259,13450,33.0,51945,Petrol,110,1.0,0,1600,5,1075,High,2.8
260,11950,41.0,51732,Petrol,97,1.0,0,1400,3,1025,Medium,3.4
261,12495,39.0,50873,Petrol,110,,0,1600,5,1075,High,3.2
262,13500,41.0,50856,Petrol,110,0.0,0,1600,4,1030,High,3.4
263,12750,40.0,50640,Petrol,110,1.0,0,1600,5,1075,High,3.3
264,12000,39.0,50000,Petrol,97,1.0,0,1400,5,1060,High,3.2
265,11950,38.0,49500,Petrol,110,1.0,0,1600,5,1075,Medium,3.2
266,12495,44.0,49332,Petrol,110,1.0,0,1600,5,1080,High,3.7
267,12450,34.0,49291,Petrol,110,1.0,0,1600,3,1040,High,2.8
268,14750,40.0,48952,Diesel,90,1.0,0,2000,5,1205,High,3.3
269,10950,39.0,48945,Petrol,110,0.0,0,1600,3,1040,Medium,3.2
270,13500,33.0,48928,Diesel,69,,0,1900,3,1105,High,2.8
271,12950,38.0,48197,Petrol,110,1.0,0,1600,5,1075,High,3.2
272,13500,35.0,48052,Diesel,69,,0,1900,3,1105,High,2.9
273,13450,,48011,Petrol,110,1.0,0,1600,4,1030,High,
274,13500,43.0,48000,Petrol,110,1.0,0,1600,5,1075,High,3.6
275,11480,41.0,47350,Petrol,110,1.0,0,1600,5,1075,Medium,3.4
276,13450,39.0,46821,Petrol,97,1.0,0,1400,5,1060,High,3.2
277,11495,39.0,46694,Petrol,110,0.0,0,1600,3,1040,Medium,3.2
278,12750,43.0,46515,Petrol,97,0.0,0,1400,5,1025,High,3.6
279,14990,38.0,46327,Petrol,110,1.0,0,1600,3,1055,High,3.2
280,12950,35.0,46304,Petrol,97,1.0,0,1400,5,1060,High,2.9
281,12950,40.0,45886,Petrol,110,1.0,0,1600,5,1080,High,3.3
282,12850,39.0,45713,Petrol,97,1.0,0,1400,5,1085,High,3.2
283,13950,40.0,45600,Petrol,110,1.0,1,1600,5,1105,High,3.3
284,11950,41.0,45287,Petrol,110,1.0,0,1600,5,1075,Medium,3.4
285,12950,39.0,45081,Petrol,110,1.0,0,1600,5,1075,High,3.2
286,11700,40.0,44830,Petrol,110,,0,1600,5,1075,Medium,3.3
287,9950,37.0,44757,Petrol,97,,0,1400,3,1025,Medium,3.1
288,11895,44.0,44218,Petrol,97,1.0,0,1400,5,1060,Medium,3.7
289,12950,43.0,43632,Petrol,110,1.0,0,1600,5,1075,High,3.6
290,12500,36.0,43427,Petrol,110,1.0,0,1600,3,1040,High,3.0
291,13875,39.0,43254,Petrol,110,1.0,0,1600,5,1075,High,3.2
292,10500,35.0,43000,Petrol,110,0.0,0,1600,3,1050,Medium,2.9
293,12295,33.0,42823,Petrol,110,1.0,0,1600,5,1075,High,2.8
294,13950,42.0,42560,Petrol,110,1.0,0,1600,5,1080,High,3.5
295,10950,38.0,41754,Petrol,110,0.0,0,1600,3,1040,Medium,3.2
296,12950,44.0,41499,CNG,110,1.0,0,1600,5,1103,High,3.7
297,12850,40.0,41339,Petrol,110,1.0,0,1600,5,1080,High,3.3
298,13995,35.0,41000,Petrol,110,1.0,0,1600,5,1075,High,2.9
299,13750,39.0,40000,Petrol,110,1.0,0,1600,3,1055,High,3.2
300,12750,37.0,39757,Petrol,110,1.0,0,1600,5,1075,High,3.1
301,12500,41.0,39659,Petrol,110,,0,1600,3,1045,High,3.4
302,13950,43.0,39650,Petrol,110,0.0,0,1600,3,1055,High,3.6
303,11500,39.0,39524,Petrol,97,,0,1398,3,1025,Medium,3.2
304,13950,44.0,39516,Petrol,97,1.0,0,1400,5,1060,High,3.7
305,11895,41.0,39439,Petrol,97,0.0,0,1400,5,1060,Medium,3.4
306,9950,44.0,39000,Petrol,97,1.0,0,1400,3,1025,Medium,3.7
307,13500,42.0,38932,Petrol,110,1.0,0,1600,3,1040,High,3.5
308,11450,37.0,38812,Petrol,97,,0,1400,3,1025,Medium,3.1
309,12450,42.0,38665,Petrol,110,1.0,0,1600,5,1075,High,3.5
310,12950,40.0,38653,Petrol,110,1.0,0,1600,5,1080,High,3.3
311,13995,44.0,38461,Petrol,110,,0,1600,5,1080,High,3.7
312,11750,42.0,38078,Petrol,97,0.0,0,1400,3,1025,Medium,3.5
313,11650,39.0,37782,Petrol,97,1.0,0,1400,5,1060,Medium,3.2
314,9950,43.0,37576,Petrol,97,0.0,0,1400,3,1030,Medium,3.6
315,13950,41.0,37533,Petrol,110,1.0,0,1600,5,1075,High,3.4
316,12950,44.0,37389,Petrol,110,1.0,0,1600,5,1080,High,3.7
317,10950,38.0,37320,Petrol,97,1.0,0,1400,3,1025,Medium,3.2
318,9900,42.0,37000,Petrol,97,1.0,0,1400,3,1025,Medium,3.5
319,11950,44.0,37000,Petrol,110,0.0,0,1600,4,1075,Medium,3.7
320,11990,40.0,36566,Petrol,110,0.0,0,1600,5,1090,High,3.3
321,10750,36.0,36269,,110,1.0,0,1600,5,1075,Medium,3.0
322,13950,37.0,36074,Petrol,110,1.0,1,1600,5,1075,High,3.1
323,11250,44.0,36066,Petrol,110,1.0,0,1600,3,1040,Medium,3.7
324,12950,39.0,34599,Petrol,110,1.0,0,1600,5,1075,High,3.2
325,11950,41.0,34000,Petrol,110,1.0,0,1600,5,1075,Medium,3.4
326,10950,42.0,33623,Petrol,97,1.0,0,1400,3,1025,Medium,3.5
327,12950,33.0,33591,Petrol,110,1.0,0,1600,5,1075,High,2.8
328,12950,35.0,33258,Petrol,110,,0,1600,5,1075,High,2.9
329,11695,43.0,33113,,110,1.0,0,1600,5,1075,Medium,3.6
330,11000,41.0,33000,Petrol,110,1.0,1,1600,5,1075,Medium,3.4
331,13950,,32941,Petrol,110,1.0,0,1600,5,1080,High,
332,11950,38.0,32781,,110,0.0,0,1600,5,1075,Medium,3.2
333,11750,40.0,32532,,110,1.0,0,1600,3,1040,Medium,3.3
334,12400,34.0,32431,,97,1.0,0,1400,5,1060,High,2.8
335,12500,35.0,32000,Petrol,110,0.0,0,1600,3,1040,High,2.9
336,12900,33.0,31000,Petrol,110,1.0,0,1600,5,1075,High,2.8
337,12200,41.0,30989,Petrol,110,0.0,0,1600,3,1045,High,3.4
338,12750,43.0,30742,Petrol,110,1.0,0,1600,3,1040,High,3.6
339,11950,42.0,30190,Petrol,110,1.0,0,1600,5,1075,Medium,3.5
340,11900,41.0,29716,Petrol,116,1.0,0,1600,5,1075,Medium,3.4
341,11950,44.0,29716,,110,1.0,1,1600,3,1070,Medium,3.7
342,14950,42.0,29640,Petrol,110,,0,1600,3,1055,High,3.5
343,11950,41.0,29056,Petrol,97,1.0,0,1400,5,1060,Medium,3.4
344,12950,33.0,28715,Petrol,110,1.0,0,1600,5,1075,High,2.8
345,14950,41.0,28571,Petrol,110,0.0,0,1600,5,1090,High,3.4
346,13450,40.0,28362,Petrol,110,1.0,0,1600,3,1040,High,3.3
347,13750,38.0,28150,Petrol,110,,0,1600,5,1075,High,3.2
348,12950,43.0,27301,,110,1.0,0,1600,3,1040,High,3.6
349,12750,33.0,27240,Petrol,110,1.0,0,1600,5,1075,High,2.8
350,11895,39.0,27170,Petrol,97,1.0,0,1400,5,1060,Medium,3.2
351,9950,42.0,27141,Petrol,97,1.0,0,1400,5,1060,Medium,3.5
352,12450,38.0,26262,Petrol,110,1.0,0,1600,5,1075,High,3.2
353,12500,38.0,26000,Petrol,97,1.0,0,1400,5,1060,High,3.2
354,14950,43.0,25228,Petrol,110,1.0,0,1600,3,1045,High,3.6
355,13750,39.0,25062,Petrol,110,,0,1600,5,1080,High,3.2
356,12695,39.0,24723,Petrol,110,1.0,1,1600,4,1060,High,3.2
357,14990,,24650,Petrol,110,1.0,0,1600,3,1055,High,
358,12750,43.0,24553,Petrol,110,1.0,0,1600,5,1080,High,3.6
359,14350,41.0,24475,Petrol,110,,0,1600,5,1030,High,3.4
360,12950,39.0,24444,Petrol,110,,0,1600,3,1040,High,3.2
